Latitude,Longitude,Temperature (°C),Rainfall (mm),Soil Quality,Crop Suitability,Historical Yield Trend
12.91,81.37,38,109,Low,Peas,Low
16.91,80.73,26,46,Medium,,Low
13.76,81.37,26,130,Low,,Average
12.73,78.08,37,43,Low,Peas,High
15.25,75.67,30,,Medium,Barley,High
17.55,81.79,25,79,Medium,Barley,Low
18.61,84.65,25,,Medium,,Average
13.28,76.43,38,58,High,,High
19.71,81.87,28,,High,Wheat,Low
18.06,80.22,,88,Low,None,High
10.54,76.18,34,29,Medium,,No Data
17.05,78.55,25,102,Low,Barley,High
13.26,79.23,37,6,High,,No Data
17.73,77.03,32,,Low,Groundnut,Low
14.87,76.23,,,Medium,Maize,No Data
15.85,79.79,39,,Low,,High
16.08,81.15,40,75,Low,Peas,High
10.14,76.11,30,21,High,,No Data
19.55,76.8,26,,Medium,Rice,Average
12.3,79.03,33,107,Low,Maize,No Data
13.14,80.98,35,150,Low,Peas,No Data
13.61,79.13,31,107,High,Barley,Average
11.66,76.25,34,59,Low,Wheat,High
19.41,75.29,36,38,Low,Groundnut,Low
17.69,81.72,,,Medium,Wheat,Low
19.66,81.42,40,135,Low,Maize,No Data
16.79,82.82,28,41,Low,Maize,High
19.32,84.09,,30,Low,Cotton,Low
10.17,80.19,40,124,High,Peas,High
15.58,75.85,37,147,Medium,Cotton,No Data
10.31,77.75,36,138,Medium,Peas,No Data
11.1,79.85,35,134,Medium,Rice,Low
19.83,82.04,25,100,High,None,High
19.36,75.37,34,29,Medium,,Low
18.44,83.9,35,71,High,Groundnut,Low
19.72,81.96,28,66,Low,Maize,Average
10.8,80.91,26,109,Low,,Low
14.62,78.34,,57,Low,Maize,Average
15.32,82.94,35,,Medium,Maize,High
16.65,78.17,40,85,High,None,No Data
19.79,79.21,40,0,High,Groundnut,Average
10.29,76.36,36,143,Medium,Wheat,Average
16.28,81.54,30,44,Medium,Maize,Average
12.78,81.99,,,Low,Peas,High
14.68,82.16,40,131,High,None,No Data
17.35,84.89,,134,Low,Barley,High
13.59,81.68,31,79,Low,None,No Data
17.72,83.94,29,24,High,Wheat,Low
13.31,80.31,,74,Medium,Barley,Low
15.79,81.8,,133,Medium,Maize,Low
13.41,76.61,32,94,Low,,High
15.67,81.43,31,60,Medium,Rice,Low
17.22,76.04,30,20,Low,Barley,No Data
19.94,76.32,,96,Medium,None,No Data
19.27,83.37,30,89,Low,Barley,No Data
17.36,79.16,,120,Low,,Average
17.11,78.66,31,103,Medium,Groundnut,Average
17.4,82.58,26,126,Low,None,Average
11.69,81.7,31,150,Medium,None,Average
13.77,83.45,,91,High,,High
16.2,81.54,32,119,High,Groundnut,Average
18.28,75.46,34,71,High,Groundnut,High
10.51,75.53,25,40,Low,None,Average
17.38,77.34,28,,High,Maize,No Data
12.45,77.71,36,,Medium,Groundnut,Average
14.02,82.73,31,122,High,,Average
17.68,76.74,33,,Medium,Rice,No Data
17.76,80.09,,,Low,,Low
17.63,84.35,28,,Low,None,No Data
12.45,81.47,,137,Low,,Average
14.94,76.73,27,47,High,,Low
11.38,78.47,36,55,Medium,Peas,High
16.45,75.84,30,5,Low,Barley,No Data
19.85,83.84,25,109,Low,Cotton,High
12.68,79.14,,,Low,Wheat,High
15.99,75.09,39,16,High,Barley,No Data
17.78,75.7,27,142,Medium,Groundnut,Average
14.41,75.64,28,10,Medium,None,No Data
14.02,75.73,25,62,Low,Peas,Average
17.18,76.41,40,135,Low,Peas,No Data
16.86,77.79,29,147,Medium,Rice,No Data
14.31,80.37,26,118,High,Wheat,High
16.25,78.09,29,124,Medium,Wheat,No Data
15.15,82.63,,30,High,Barley,Low
18.19,81.28,38,58,Low,Wheat,No Data
13.7,84.4,29,26,High,Peas,Average
15.01,75.9,32,,High,Groundnut,High
10.03,80.13,,17,Medium,Barley,Average
12.8,80.88,,12,High,Barley,Low
13.79,75.53,32,146,Low,Cotton,High
19.3,77.94,,,High,Barley,High
17.07,79.14,28,45,High,Barley,No Data
10.38,82.8,32,35,Low,Cotton,Average
16.11,84.35,28,149,High,None,Average
15.39,80.54,37,,High,Peas,Average
17.91,79.59,37,84,Medium,None,No Data
14.66,83.92,,,Low,Maize,Low
10.12,77.74,37,14,Low,Groundnut,No Data
14.31,81.55,33,,Low,Cotton,High
11.86,81.36,,84,Medium,None,No Data
11.68,77.21,,,High,Peas,Average
13.93,83.33,,106,Low,Groundnut,No Data
13.81,80.49,30,104,Medium,Barley,High
19.48,76.85,31,,High,Barley,High
12.2,83.67,29,,Medium,,Average
15.94,83.18,28,150,Medium,,Average
15.09,83.89,29,144,High,,High
17.24,80.86,26,44,Low,None,Low
14.98,84.29,26,14,Low,Groundnut,High
11.2,80.15,34,,High,Wheat,Average
18.29,84.55,,,High,None,No Data
15.72,83.6,34,147,Medium,Cotton,Average
14.46,83.1,37,,Low,Cotton,High
10.33,79.49,34,23,High,Maize,Low
14.16,81.15,34,106,High,,High
12.93,79.28,29,86,High,,No Data
15.38,75.5,,114,High,,Average
16.47,82.72,27,38,High,None,Low
16.38,77.42,25,29,High,Cotton,Average
19.21,77.9,37,,Medium,Maize,High
14.19,75.2,,,High,Peas,No Data
13.02,77.91,37,112,Low,Peas,Average
11.68,77.53,31,,Medium,Maize,Low
16.49,80.9,40,73,High,Maize,Low
19.54,76.14,,7,Low,,High
19.92,76.07,35,,Medium,Groundnut,High
16.33,82.06,26,31,Low,Maize,Low
15.05,82.98,38,,Medium,Rice,Average
13.04,76.88,37,131,Medium,Rice,High
11.53,84.25,34,141,High,Peas,Average
19.66,77.14,38,100,Low,Maize,No Data
13.37,81.47,34,,Low,Cotton,Average
19.24,82.85,,38,High,Peas,Low
13.07,75.19,37,110,High,,High
12.76,77.48,,84,Low,Cotton,No Data
11.15,80.8,35,82,High,None,No Data
18.07,84.62,36,19,Low,Barley,Average
19.6,79.05,33,125,Low,,No Data
11.49,76.26,25,37,High,,Low
10.6,81.3,,150,High,Barley,Low
15.77,80.01,35,137,Low,Wheat,Low
10.52,80.27,40,141,High,Maize,High
10.18,77.06,,,High,,No Data
19.75,77.49,37,108,Medium,Wheat,Average
12.35,81.64,32,97,Low,Wheat,Average
11.99,80.72,39,122,Low,,High
17.55,80.18,,64,Medium,,No Data
11.76,77.39,29,134,High,,High
10.17,77.72,,76,Low,Wheat,High
11.13,80.59,,113,Low,Rice,High
17.02,76.81,25,149,High,Groundnut,No Data
13.3,77.14,27,139,Low,Peas,Low
19.42,80.76,33,147,Low,Wheat,Average
11.97,84.73,40,140,High,Cotton,High
13.76,83.02,31,89,Low,Maize,Average
10.02,79.65,39,44,High,None,Average
12.58,75.84,31,90,Low,Rice,No Data
19.69,77.54,27,47,Low,Groundnut,High
14.18,82.84,37,6,High,,Average
17.51,78.54,37,34,Low,Peas,High
19.71,75.92,26,,Low,,Low
18.41,83.17,25,36,High,Barley,Low
18.72,77.6,,42,Medium,Peas,Average
18.12,75.33,,,High,None,Average
14.44,75.16,27,141,Medium,Rice,Average
12.61,82.42,30,149,Medium,Wheat,Average
19,75.48,39,111,Low,,Average
10.61,80.45,28,69,High,Peas,High
10.31,83.75,39,,Medium,Maize,Average
18.93,80.94,,,Low,,Low
10.47,75.54,,113,Medium,Wheat,Low
10.56,76.45,32,6,Low,Cotton,Average
15.87,76.56,26,87,Medium,,Average
11.74,80.29,31,68,Medium,Barley,High
16.23,84.13,38,48,Medium,Peas,Average
17.15,79.04,36,,Low,Wheat,No Data
12.65,80.5,30,116,High,Wheat,High
10.76,81.89,40,,High,Maize,No Data
18.48,80.49,33,65,Low,None,Low
19.53,78.09,,34,Medium,Maize,High
11.65,81.71,,141,High,Barley,No Data
16.83,80.26,37,92,Low,None,Average
14.77,77.1,28,46,Low,Groundnut,High
16.22,78.03,,,High,Wheat,Average
18.79,81.57,,70,High,,High
16.29,79.05,27,6,Medium,,Low
14.3,78.06,25,142,High,Rice,High
11.31,78.89,35,93,High,Rice,High
17.38,83.78,33,81,High,None,Average
16.26,78.21,,,High,Peas,No Data
12.72,77.83,26,107,High,Cotton,No Data
11.52,77.53,37,117,Medium,None,Low
11.76,76.48,29,52,Low,Barley,Average
19.16,83.69,33,114,Low,None,High
15.26,82.18,27,4,High,Barley,High
10.92,79.88,32,,High,Peas,Low
12.34,75.5,33,122,Medium,Barley,No Data
17.21,84.78,39,,High,Peas,No Data
14.8,80.44,37,15,Low,None,High
15.07,82.55,40,28,Medium,Rice,Low
11.47,76.47,27,120,High,Cotton,No Data
12.68,79.95,34,,High,Groundnut,Average
10.15,76.49,38,144,Low,,High
14.34,83.73,39,114,Low,,Low
14.59,76.48,25,,Low,Peas,High
13.6,84.34,33,90,High,Peas,Average
13.84,81.63,37,96,Medium,,High
17.5,82.32,38,135,Low,Barley,High
14.48,84.72,31,30,Low,,Average
17.64,77.17,38,81,Low,Cotton,No Data
15.41,78.33,,29,Low,Cotton,High
10.5,83.06,37,61,Low,Cotton,No Data
10.39,77.26,,122,Low,Rice,Low
14.89,82.08,40,78,High,,High
15.67,75.08,,,High,,Average
11.36,77,25,20,Low,Peas,High
18.3,83.28,32,88,Low,Groundnut,Low
16.77,79.19,40,,High,Barley,No Data
15.76,84.32,33,97,Medium,,Low
16.23,75.97,,77,High,Wheat,Low
14.75,84.04,39,72,High,Barley,No Data
19.4,81.94,36,,High,Rice,High
15.9,83.41,26,120,Medium,Wheat,Low
10.98,78.42,27,,Medium,,Low
18.84,81.26,32,19,Medium,Maize,Average
11.37,82.78,37,27,Medium,Barley,Low
19.6,80.53,,150,High,Rice,Average
15.85,78.59,32,7,Low,Groundnut,Low
11.12,77.91,29,,Low,Rice,High
13.7,82.74,27,85,High,,No Data
11.13,83.95,28,3,High,Rice,Average
18.32,76.25,31,109,Low,Peas,Average
20,79.31,36,103,Medium,Barley,No Data
19.07,82.94,28,30,Medium,Groundnut,Average
15.15,76.45,40,12,High,,Average
19.55,79.14,,148,High,None,Low
13.19,78.76,,43,Low,Groundnut,Low
16.07,81.99,36,4,High,Maize,No Data
12.39,79.14,39,41,Low,Maize,Average
19.62,79.31,39,133,Low,Barley,Low
17.53,82.99,39,87,High,None,High
11.59,75.51,30,,Medium,,Average
17.65,76.87,26,115,Medium,Peas,Average
15.36,76.07,32,99,Low,Peas,Low
14.02,81.35,29,24,Low,Cotton,Average
12.71,78.89,,82,High,Peas,Low
15.99,77.69,36,124,High,Barley,Low
13.26,83.5,29,64,Medium,,No Data
14.66,75.07,30,,Low,Peas,No Data
15.27,84.42,,115,High,Wheat,High
17.99,80.22,,34,Medium,Barley,High
19.07,82.32,35,107,Low,Barley,No Data
18.77,84.35,29,,High,Maize,Low
19.29,76.32,,114,Low,Barley,Average
14.22,83.31,39,47,High,Groundnut,Average
17.97,82.67,36,87,Medium,Groundnut,No Data
12.25,81,36,14,Low,Maize,No Data
19.78,76.83,26,,Low,None,No Data
14.32,79.39,39,136,Medium,Barley,High
14.49,75.88,25,,Medium,Barley,No Data
11.02,79.46,38,,Low,,No Data
13.25,77.05,,67,High,Cotton,Average
14.07,76.24,36,79,Medium,Wheat,High
17.4,83.46,25,72,High,,High
10.08,80.96,,110,Low,,Average
16.96,80.9,29,46,High,Maize,No Data
18.65,78.24,28,29,Medium,Wheat,No Data
15.3,78.25,,,Medium,Wheat,No Data
12.23,77.62,,45,Medium,Maize,Low
15.37,77.46,38,68,Medium,Peas,High
17.59,78.85,26,136,Medium,Maize,No Data
16.34,79.89,,133,Low,,Average
15.21,79.94,30,138,Medium,Maize,Low
18.26,76.02,40,91,High,Barley,High
19.11,75.76,38,59,Low,Groundnut,High
14.93,82.62,,,Medium,Rice,Low
17.98,78.86,29,,Medium,,Low
12.7,78.59,33,97,Medium,Cotton,Low
18.89,78.88,38,127,High,Maize,No Data
12.86,78.87,28,101,Medium,,No Data
17.44,79.36,,104,High,Barley,High
13.76,82.81,40,56,High,Rice,Average
11.07,80.99,28,121,Low,Peas,Average
13.23,75.9,30,104,Low,Maize,Low
18.4,80.12,32,133,Low,Rice,No Data
16.77,75.73,34,145,Low,Rice,No Data
16.35,76.76,30,,High,,High
19.16,84.32,29,11,Low,Peas,Low
15.16,75,,119,Medium,,No Data
10.04,75.24,,118,Low,Maize,Low
14.24,81.93,,,Medium,Groundnut,No Data
11.91,78.1,36,69,Medium,,No Data
13.93,81.47,34,33,High,Rice,High
14.95,76.42,,75,Medium,,No Data
18.5,77.03,30,135,Medium,Peas,Average
15.07,81.37,35,30,High,,No Data
11.4,76.47,,45,Low,,No Data
19.51,78.29,30,63,High,,Low
16.97,84.75,,71,Low,Peas,Low
18.31,75.46,,22,Medium,Cotton,High
10.27,83.36,,78,Medium,Groundnut,Average
17.89,82.44,25,34,Low,,High
10.68,80.81,32,72,Medium,Wheat,No Data
14.31,77.79,27,43,High,Barley,Average
10.83,75.77,,117,Medium,Cotton,Low
17.19,83.45,,87,Low,Wheat,No Data
19.24,82.39,26,34,High,,No Data
15.28,75.5,40,,High,Groundnut,High
12.05,84.45,39,120,Medium,Barley,Low
15.02,82.03,28,16,High,,Low
12.04,80.17,,32,Low,,No Data
15.68,78.71,34,143,Low,Maize,Average
18.56,80.74,35,123,Medium,Rice,No Data
16.06,81.45,39,28,High,Barley,High
16.33,78.61,33,,High,Barley,High
13.39,77.3,32,116,Medium,Barley,High
19.01,84.48,34,141,Low,Cotton,Average
12.14,84.79,,,High,,Average
15.72,76.35,,127,Medium,Peas,Average
19.89,78.25,,144,Low,Barley,Average
12.48,83.42,35,133,High,Cotton,No Data
11.44,76.45,26,5,Medium,Maize,Low
17.69,80.15,33,40,Low,None,No Data
17.76,78.46,28,30,Low,Rice,High
17.62,83.85,38,123,Low,,High
11.82,81.17,35,67,Medium,Maize,Average
14.61,78.2,34,131,High,Cotton,Low
12.29,79.44,33,88,Medium,None,No Data
12.76,81.28,33,53,Low,None,Average
17.48,75.51,36,,High,Wheat,Average
12,75.83,37,58,Low,Rice,High
10.93,79.56,33,66,Low,None,Low
14.26,81.43,37,135,Medium,Cotton,High
14.23,77.02,27,56,Medium,,No Data
10.72,82.26,35,,Medium,Maize,Average
19.38,83.28,31,3,Medium,Wheat,Low
10.87,84.32,,52,High,Rice,Low
16.15,83.5,30,114,High,Rice,Low
16.64,79.71,33,15,Medium,None,High
11.02,82.64,37,,Medium,Maize,Average
13.02,75.42,27,38,High,Maize,Average
10.84,76.6,26,150,Low,Groundnut,No Data
18.03,79.4,26,55,Medium,None,High
19.25,80.83,35,142,Low,Barley,High
18.42,78.7,38,147,Medium,Groundnut,High
17.73,75.52,34,135,Medium,,Average
14.29,82.23,28,,High,Wheat,Low
15.07,79.2,37,,Low,Maize,High
12.99,84.77,25,16,High,Peas,No Data
16.66,81.96,,106,High,None,Low
19.35,76.9,29,10,Low,None,No Data
12.81,75.12,31,140,Low,Barley,High
13.03,75.7,27,80,Low,Peas,Low
18.77,75.84,30,126,High,,No Data
17.51,76.97,29,52,High,,Low
16.74,79.2,38,,Low,Barley,No Data
16.1,80.92,,49,Medium,,High
18.03,84.88,40,22,High,Rice,Low
19.88,77.86,39,106,High,None,High
13.39,76.45,33,113,Medium,Cotton,No Data
18.24,77.81,40,97,High,Maize,Low
17.97,75.7,36,48,Low,Rice,Average
14.14,75.82,32,48,Medium,Wheat,Average
18.59,76.15,28,26,Low,Peas,No Data
15.55,82.76,34,96,Medium,,Average
14.21,84.89,31,49,Low,Peas,Low
10.8,84.12,27,106,Medium,,No Data
19.89,79.76,31,58,Medium,Cotton,Low
15.85,80.52,34,66,Medium,Groundnut,No Data
16.24,79.83,32,139,High,Groundnut,High
19.78,78.16,33,91,Medium,Cotton,High
13.39,84.14,33,150,High,Maize,Average
14.39,80.5,39,,Medium,,Average
18.39,79.58,,73,High,Wheat,Average
14.22,84.5,,37,High,Rice,Average
11.08,77.09,27,102,High,Groundnut,No Data
12.06,77.55,26,30,Low,,Average
10.19,78.06,30,72,Medium,Maize,No Data
14.05,83.89,33,103,High,Rice,No Data
10.33,82.21,33,16,Medium,Wheat,Low
14,79.57,31,37,Medium,Peas,High
17.81,75.22,33,,Medium,Peas,High
14.1,79.5,33,,Medium,Maize,No Data
15.89,83.65,28,73,Medium,,Low
16.81,81.95,28,,Low,None,No Data
13.41,75.6,33,75,High,Barley,Average
13.12,84.78,32,,Medium,Wheat,No Data
10.48,82.93,31,27,Low,,Low
12.32,81.41,26,33,Low,None,Average
16.14,76.34,,101,Medium,,Low
17.14,77.97,25,,Medium,,Low
18.97,83.22,40,141,Medium,Groundnut,Average
15.95,75.48,26,,Low,,High
15.1,75.08,27,,Low,Wheat,No Data
10.44,84.94,37,23,Low,Barley,Average
11.08,78.45,40,,High,,Average
12.01,83.44,31,,High,Rice,High
10.9,81.79,35,3,High,Rice,Average
10.46,78.61,26,62,High,,Average
18.01,78.25,27,19,High,None,Average
17.45,82.23,26,136,Medium,None,High
15.01,76.93,25,35,High,Groundnut,Average
14.28,84.89,,81,Medium,Barley,Low
18.87,79.63,28,,High,Cotton,No Data
14.23,83.15,28,,Low,None,Low
10.28,81.53,28,13,Medium,Cotton,High
14.4,79.5,25,,High,Barley,No Data
13.33,80.07,26,47,Low,,No Data
18.23,77.05,40,136,Low,Wheat,Average
11.02,83,37,110,High,Wheat,Average
17.19,84.05,35,,Medium,,Low
12.86,77.4,,,Medium,,High
17.92,81.94,36,26,Medium,Rice,Average
18.91,83.44,40,148,Low,None,No Data
12.34,79.88,25,150,Low,,High
12.13,78.64,32,22,High,Wheat,No Data
13.62,77.04,39,137,High,Cotton,Low
16.27,84.13,27,41,Medium,Barley,No Data
13.97,82.74,35,30,High,Cotton,Average
13.8,82,32,23,Medium,Wheat,Average
12.77,79.82,32,42,High,Wheat,Low
18.16,79.7,28,34,Low,Rice,Average
12.63,80.17,39,,Low,,No Data
16.56,80,37,86,Medium,Maize,Low
16.54,83.96,28,15,Low,Rice,Average
16.77,78.12,40,139,Low,Wheat,No Data
10.09,79.26,35,63,High,Groundnut,High
16.66,84.73,36,106,Medium,Groundnut,Low
16.93,75.67,26,52,Medium,Rice,Average
11.16,79.27,28,61,High,Rice,Low
15.29,82.64,40,100,Medium,Peas,High
14.98,75.16,,143,Low,Barley,Average
11.68,77.22,29,83,High,,High
17.86,83.52,31,106,Low,Peas,High
13.52,78.09,32,2,Low,Cotton,Average
18.82,79.9,30,17,Medium,None,Low
13.87,80.84,34,33,High,Maize,Low
19.15,83.79,37,30,High,Wheat,High
16.71,77.04,35,42,Low,,Average
10.46,79.78,28,5,Low,Barley,Average
15.4,76.57,31,147,Medium,Barley,Low
19.56,80.09,,62,Medium,,Average
10.89,80.68,33,51,Medium,,High
16.75,83.06,,,Medium,Cotton,Low
19.64,80.26,,35,Medium,Groundnut,No Data
18.35,77.93,26,136,Low,,Average
14.1,83.91,40,130,Medium,,No Data
13.09,84.79,36,110,Medium,Cotton,No Data
19.44,84.91,26,93,Medium,None,No Data
19.93,77.75,38,,High,Maize,High
16.07,76.76,30,150,Medium,None,Average
13.15,79.92,35,80,High,Wheat,Average
19.82,80.46,29,60,Medium,Rice,Average
14.6,76.4,32,60,High,Barley,Low
12.78,84.88,,79,Medium,Rice,Low
11.22,84.25,33,77,Low,Cotton,Low
19.25,76.26,40,112,Medium,,No Data
15.54,79.47,35,52,Medium,Groundnut,High
15.32,75.14,25,46,Medium,Maize,Average
16.46,78.64,31,54,High,,Average
18.84,80.37,33,65,Low,Barley,No Data
13.05,83.29,36,,Low,None,High
18.35,81.29,35,,Medium,Peas,No Data
18.96,76.55,,,Low,,No Data
14.47,79.76,39,107,Low,Wheat,No Data
11.09,80.51,32,87,High,Maize,Low
19.18,77.24,,,High,Barley,Average
12.61,78.64,37,136,Medium,Wheat,Average
13.82,84.11,,136,High,Wheat,High
19.14,80.8,35,12,Medium,Cotton,No Data
17.39,75.05,,43,High,Maize,Low
15.9,83.35,28,96,High,,No Data
10.5,77.67,36,42,Low,Wheat,Average
11.45,76.72,37,66,Low,Peas,Average
14.17,84.14,,26,Medium,Cotton,High
12.25,82.71,36,61,Low,Barley,Low
14.96,75.74,33,131,Medium,Maize,Low
10.94,77.63,35,86,High,Rice,Low
14.11,78.79,28,101,High,Cotton,No Data
17.93,76.23,34,13,Medium,,High
19.24,77.1,,69,Low,,Low
14.06,81.79,31,110,High,Peas,Low
19.83,75.35,33,113,High,,High
13.91,79.14,40,,High,,Low
10.84,81.66,33,64,Low,Maize,Low
19.83,77.62,38,109,Medium,Maize,No Data
17.93,75.57,26,71,Low,Barley,No Data
18.32,82.96,40,50,Medium,Wheat,High
10.43,75.28,36,86,High,Wheat,No Data
19.52,83.86,28,,High,Wheat,No Data
13.89,80.76,39,44,Low,Maize,No Data
12.03,81.55,32,119,Low,Barley,No Data
14.37,79.67,26,56,High,,Average
10.7,76.05,38,97,Medium,Maize,Low
19.13,80,32,11,Low,None,Average
10.24,83.34,,49,High,Wheat,High
17.03,81.95,32,138,High,,Low
16.13,75.7,,100,High,None,Low
17.85,80.09,25,88,High,None,Low
14.26,79.18,34,49,Low,Maize,High
11.8,83.82,40,91,Low,,High
15.42,78.35,,20,Medium,Cotton,Low
12.75,81.28,39,,Medium,,No Data
16.58,77.11,38,150,High,Wheat,Low
18.36,81.64,32,56,Medium,Rice,No Data
10.54,79.01,30,,Low,None,High
16.79,79.88,38,120,Medium,Cotton,High
18.41,84.22,32,66,Low,Maize,Low
15.95,79.26,33,145,High,Wheat,No Data
13.53,75.24,31,,Low,None,High
12.24,79.88,31,32,Medium,Groundnut,Low
16.46,84.58,34,35,Low,Maize,Average
19.67,83.1,32,142,Medium,Maize,Low
12.44,77.09,,84,High,Groundnut,High
17.35,76.36,,61,High,Peas,Low
15.08,84.27,,69,High,,Average
17.81,75.72,,65,Low,Wheat,Low
18.66,82.23,37,37,Medium,Rice,No Data
11.15,81.53,,79,Medium,Wheat,Average
19.95,84.5,37,107,Medium,Barley,Average
17.97,77.26,36,83,Low,Rice,Low
13.68,84.74,29,133,Medium,Rice,No Data
12.55,80.99,28,14,Medium,Peas,High
19.05,78.06,37,122,High,Cotton,High
19.15,76.7,25,138,Low,Barley,Average
12.87,77.81,33,48,High,Cotton,Low
16.97,83.77,28,35,Medium,None,Low
15.35,77.48,39,102,Low,Peas,High
16.99,81.2,26,,Low,None,Low
12.08,83.83,31,136,High,Peas,Average
16.1,82.75,38,66,Low,,High
12.77,80.14,,105,Low,Rice,Low
13.54,80.5,37,17,High,None,Low
12.03,81.76,28,115,High,,Average
12.48,81.65,38,94,Medium,Peas,Average
13.76,80.65,27,45,Medium,Barley,High
12.11,79.11,26,117,High,,Average
15.28,83.13,36,,High,Cotton,High
12.87,75.26,32,64,Low,Wheat,No Data
15.64,77.95,37,,High,Barley,No Data
15.89,80.27,38,136,Medium,Rice,Average
16.43,83.54,,98,Low,Cotton,High
17.35,81.01,27,,Medium,Maize,Average
10.36,79.56,35,,High,None,Average
12.26,78.5,36,70,Medium,Rice,High
13.22,76.14,36,28,Medium,Barley,Average
11.44,75.84,,12,Low,Groundnut,Average
11.69,84.58,26,111,Medium,Rice,No Data
10.78,80.81,25,122,High,Rice,No Data
13.71,80.19,31,120,Medium,Rice,Low
12.82,83.87,,71,High,,Average
15.82,75.25,,124,Medium,Rice,High
10.18,81.83,38,87,Medium,,Average
11.79,78.44,32,84,Medium,Rice,Low
11.02,77.6,27,46,Low,Wheat,No Data
12.88,84,31,16,High,Barley,No Data
18.85,79.51,39,72,Low,Barley,Low
11.11,80.79,31,67,High,Wheat,No Data
14.69,78.54,29,119,High,None,High
13.94,78.99,36,148,High,Peas,Low
13.34,75.59,36,79,Medium,None,High
15.92,82.74,33,120,Medium,Wheat,No Data
10.44,75.91,37,72,Medium,,High
10.81,75.64,,16,Low,Barley,No Data
15.95,78.68,26,109,Medium,Peas,Low
14.46,79.33,27,97,High,Peas,Average
12.04,79.5,31,,Medium,Peas,Average
18.01,77.86,29,132,Low,Groundnut,Low
10.91,84.34,25,52,High,Rice,Low
11.32,75.99,38,40,Medium,Maize,Low
19.22,78.55,34,66,Medium,,Average
11.8,76.76,40,,Low,Groundnut,No Data
10.08,84.45,,36,High,Groundnut,No Data
16.99,84.22,,110,High,Rice,No Data
14.72,82.87,35,78,Low,Groundnut,No Data
11.07,80.4,,10,Low,Peas,Average
18.79,81.46,28,,Medium,Maize,Low
15.73,76.39,,142,High,Rice,Average
16.38,81.15,26,99,Medium,None,High
15.88,84.85,32,112,Low,Barley,High
14.52,76.95,38,,High,,High
13.91,75.99,26,113,Low,Barley,No Data
15,80.19,25,2,Medium,Peas,High
18.35,79,26,,Low,Rice,No Data
13.15,81.18,,124,High,Groundnut,High
14.17,84.42,36,129,High,Cotton,Low
13.87,83.98,28,125,High,Cotton,No Data
14.07,81.93,33,83,Low,None,Low
11.87,80.33,37,,High,Cotton,Average
19.69,79.38,,10,Medium,Peas,No Data
14.51,76.69,38,,Medium,Groundnut,High
11.52,79.11,30,,High,,No Data
13.83,79.59,34,54,High,,No Data
16.86,79.76,30,138,High,Cotton,High
18.25,85,29,,Low,Cotton,No Data
11.72,75.54,32,31,Medium,None,No Data
14.88,83.88,25,127,High,,Low
13.67,82.23,30,0,Low,Cotton,Average
10.09,80.97,30,,Low,Barley,No Data
18.51,78.33,29,48,High,None,No Data
13.02,78.44,40,49,High,,High
14.14,81.07,29,69,High,Rice,High
19.42,82.16,35,89,Low,,High
15.99,78.18,29,30,High,Barley,High
18.17,77.13,40,109,Medium,Groundnut,High
11.97,80.68,35,143,Medium,Maize,Low
17.96,82.61,38,109,High,None,High
11.19,80.27,27,20,High,,Low
13.4,78.31,,,Low,,Low
10.25,79.95,30,46,Medium,,Average
17.3,78.95,36,140,Medium,Maize,High
17.5,81.81,,,Medium,Barley,Low
13.75,78.92,35,68,High,Rice,High
15.41,81.99,29,53,Low,Rice,Low
19.58,80.08,,80,High,None,Low
16.38,84,27,66,Low,Cotton,Low
11.08,77.57,27,54,Medium,Cotton,High
15.11,84.08,,71,Low,Wheat,Low
19.55,80.97,39,65,Low,,Average
16.96,82.9,33,58,High,Wheat,High
12.35,84.78,31,,Low,,No Data
16.33,83.82,28,50,Medium,Peas,No Data
17.28,76.14,25,1,High,Rice,Average
18.29,75.37,33,6,Medium,Rice,Average
11.69,83.72,,,Medium,None,Average
19.85,82.03,25,57,Low,,Average
14.55,77.84,29,14,Low,Peas,Average
10.31,81.83,36,110,High,Peas,Low
10.61,82.51,35,18,Low,Cotton,Low
17.83,78.37,34,107,Low,Maize,Low
12.96,79.37,40,,Medium,,No Data
15.35,76.52,31,109,High,,High
10.83,77.48,30,,High,Wheat,No Data
16.67,83.4,32,15,High,Peas,Average
17.64,77.33,37,62,High,Maize,Average
13.44,84.09,27,105,Medium,Wheat,High
18.09,83.81,40,27,Medium,Cotton,No Data
17.74,78.75,29,24,Low,Groundnut,High
14.48,78.82,33,41,Low,,No Data
10.25,84.9,25,90,High,Rice,Average
15.61,78,32,,Low,Rice,No Data
15.65,75.06,,88,Low,Groundnut,No Data
18.97,82.46,28,50,Medium,Barley,Average
19.74,75.65,36,133,Low,,High
17.67,76.08,29,,High,,No Data
18.6,83.87,36,18,High,Barley,High
11.13,77.96,39,89,High,Barley,No Data
19.22,84.88,29,,Medium,None,No Data
11.76,84.47,40,47,High,Cotton,No Data
18.51,78.89,,112,Medium,Peas,Average
10.45,83.57,37,9,High,Wheat,No Data
14.97,79.83,29,18,High,Wheat,Average
17.51,75.68,,,Low,Wheat,Average
18.35,83.73,26,136,Low,Groundnut,Low
14.35,82.69,,74,High,None,Low
18.09,84.51,31,,High,Maize,High
10.72,76.32,,,Low,Groundnut,No Data
11.37,77.99,,10,Medium,Peas,High
16.66,84.52,33,82,Low,Groundnut,No Data
11.98,76.22,26,,Low,,Average
